in s,C1 in V
-9.43039616E+01,-5.744934E-05
-9.42948064E+01,-6.462097E-05
-9.42856511E+01,-7.225037E-05
-9.42764958E+01,-7.026672E-05
-9.42673405E+01,-6.599426E-05
-9.42581852E+01,-6.217957E-05
-9.42490300E+01,-6.065369E-05
-9.42398747E+01,-6.385803E-05
-9.42307194E+01,-6.126404E-05
-9.42215641E+01,-4.402161E-05
-9.42124088E+01,-2.281189E-05
-9.42032536E+01,-2.296448E-05
-9.41940983E+01,-2.601624E-05
-9.41849430E+01,-1.762390E-05
-9.41757877E+01,-5.722046E-06
-9.41666324E+01,-1.319885E-05
-9.41574772E+01,-1.289368E-05
-9.41483219E+01,-9.231567E-06
-9.41391666E+01,-2.288818E-07
-9.41300113E+01,-4.501343E-06
-9.41208560E+01,-1.121521E-05
-9.41117008E+01,-4.959106E-06
-9.41025455E+01,-3.433228E-06
-9.40933902E+01,-8.468628E-06
-9.40842349E+01,-8.010864E-06
-9.40750796E+01,-3.738403E-06
-9.40659244E+01,-2.517700E-06
-9.40567691E+01,-9.994507E-06
-9.40476138E+01,-2.212524E-06
-9.40384585E+01,-9.078979E-06
-9.40293032E+01,-3.738403E-06
-9.40201480E+01,-1.029968E-05
-9.40109927E+01,1.296997E-06
-9.40018374E+01,-9.536743E-06
-9.39926821E+01,-5.111694E-06
-9.39835268E+01,-4.653931E-06
-9.39743716E+01,-1.602173E-06
-9.39652163E+01,-1.045227E-05
-9.39560610E+01,-1.602173E-06
-9.39469057E+01,-6.027222E-06
-9.39377504E+01,-2.212524E-06
-9.39285952E+01,-7.247925E-06
-9.39194399E+01,4.959106E-06
-9.39102846E+01,-9.536743E-06
-9.39011293E+01,-6.332397E-06
-9.38919740E+01,6.866455E-07
-9.38828188E+01,3.433228E-06
-9.38736635E+01,-5.874634E-06
-9.38645082E+01,-6.790161E-06
-9.38553529E+01,2.517700E-06
-9.38461976E+01,-1.907349E-06
-9.38370424E+01,-5.111694E-06
-9.38278871E+01,-1.296997E-06
-9.38187318E+01,3.280640E-06
-9.38095765E+01,-4.501343E-06
-9.38004212E+01,-2.822876E-06
-9.37912660E+01,-7.629395E-08
-9.37821107E+01,-1.144409E-06
-9.37729554E+01,-6.790161E-06
-9.37638001E+01,-3.379822E-05
-9.37546448E+01,-5.714417E-05
-9.37454896E+01,-4.508972E-05
-9.37363343E+01,-9.536743E-06
-9.37271790E+01,-6.736755E-05
-9.37180237E+01,-3.471375E-05
-9.37088684E+01,-4.859924E-05
-9.36997132E+01,-4.478455E-05
-9.36905579E+01,-3.761292E-05
