in s,C1 in V
-9.54392164E+01,4.545059E+00
-9.54300611E+01,4.546432E+00
-9.54209058E+01,4.548264E+00
-9.54117505E+01,4.546585E+00
-9.54025952E+01,4.545975E+00
-9.53934400E+01,4.546280E+00
-9.53842847E+01,4.544754E+00
-9.53751294E+01,4.545517E+00
-9.53659741E+01,4.545822E+00
-9.53568188E+01,4.547043E+00
-9.53476636E+01,4.545364E+00
-9.53385083E+01,4.545364E+00
-9.53293530E+01,4.547348E+00
-9.53201977E+01,4.546127E+00
-9.53110424E+01,4.544907E+00
-9.53018872E+01,4.544449E+00
-9.52927319E+01,4.545975E+00
-9.52835766E+01,4.544144E+00
-9.52744213E+01,4.544449E+00
-9.52652660E+01,4.545364E+00
-9.52561108E+01,4.545517E+00
-9.52469555E+01,4.544144E+00
-9.52378002E+01,4.544601E+00
-9.52286449E+01,4.545822E+00
-9.52194896E+01,4.545364E+00
-9.52103344E+01,4.544601E+00
-9.52011791E+01,4.544601E+00
-9.51920238E+01,4.545670E+00
-9.51828685E+01,4.543381E+00
-9.51737132E+01,4.545212E+00
-9.51645580E+01,4.545517E+00
-9.51554027E+01,4.544601E+00
-9.51462474E+01,4.545059E+00
-9.51370921E+01,4.545059E+00
-9.51279368E+01,4.546585E+00
-9.51187816E+01,4.543686E+00
-9.51096263E+01,4.544754E+00
-9.51004710E+01,4.545975E+00
-9.50913157E+01,4.546127E+00
-9.50821604E+01,4.544601E+00
-9.50730052E+01,4.546585E+00
-9.50638499E+01,4.547958E+00
-9.50546946E+01,4.545975E+00
-9.50455393E+01,4.546280E+00
-9.50363840E+01,4.547653E+00
-9.50272288E+01,4.547806E+00
-9.50180735E+01,4.545517E+00
-9.50089182E+01,4.545059E+00
-9.49997629E+01,4.545517E+00
-9.49906076E+01,4.545212E+00
-9.49814524E+01,4.545517E+00
-9.49722971E+01,4.546280E+00
-9.49631418E+01,4.547043E+00
-9.49539865E+01,4.544296E+00
-9.49448312E+01,4.544601E+00
-9.49356760E+01,4.546890E+00
-9.49265207E+01,4.545212E+00
-9.49173654E+01,4.543839E+00
-9.49082101E+01,4.544907E+00
-9.48990548E+01,4.547653E+00
-9.48898996E+01,4.546738E+00
-9.48807443E+01,4.545975E+00
-9.48715890E+01,4.546738E+00
-9.48624337E+01,4.546280E+00
-9.48532784E+01,4.544754E+00
-9.48441232E+01,4.545975E+00
-9.48349679E+01,4.547806E+00
-9.48258126E+01,4.544907E+00
-9.48166573E+01,4.546127E+00
-9.48075020E+01,4.546738E+00
-9.47983468E+01,4.547501E+00
-9.47891915E+01,4.545822E+00
-9.47800362E+01,4.547043E+00
-9.47708809E+01,4.547653E+00
-9.47617256E+01,4.546280E+00
-9.47525704E+01,4.545822E+00
-9.47434151E+01,4.546585E+00
-9.47342598E+01,4.547195E+00
-9.47251045E+01,4.545822E+00
-9.47159492E+01,4.546738E+00
-9.47067940E+01,4.547653E+00
-9.46976387E+01,4.546738E+00
-9.46884834E+01,4.546280E+00
-9.46793281E+01,4.546280E+00
-9.46701728E+01,4.548111E+00
-9.46610176E+01,4.546585E+00
-9.46518623E+01,4.545975E+00
-9.46427070E+01,4.547043E+00
-9.46335517E+01,4.547806E+00
-9.46243964E+01,4.545822E+00
-9.46152412E+01,4.546585E+00
-9.46060859E+01,4.547348E+00
-9.45969306E+01,4.546890E+00
-9.45877753E+01,4.545822E+00
-9.45786200E+01,4.545517E+00
-9.45694648E+01,4.548569E+00
-9.45603095E+01,4.545517E+00
-9.45511542E+01,4.545517E+00
-9.45419989E+01,4.545822E+00
-9.45328436E+01,4.544907E+00
-9.45236884E+01,4.543533E+00
-9.45145331E+01,4.544144E+00
-9.45053778E+01,4.545670E+00
-9.44962225E+01,4.543991E+00
-9.44870672E+01,4.545517E+00
-9.44779120E+01,4.545975E+00
-9.44687567E+01,4.545517E+00
-9.44596014E+01,4.543686E+00
-9.44504461E+01,4.544144E+00
-9.44412908E+01,4.545822E+00
-9.44321356E+01,4.544296E+00
-9.44229803E+01,4.542923E+00
-9.44138250E+01,4.544296E+00
-9.44046697E+01,4.544754E+00
-9.43955144E+01,4.543686E+00
-9.43863592E+01,4.543381E+00
-9.43772039E+01,4.544754E+00
-9.43680486E+01,4.542160E+00
-9.43588933E+01,4.542618E+00
-9.43497380E+01,4.544907E+00
-9.43405828E+01,4.545517E+00
-9.43314275E+01,4.543076E+00
-9.43222722E+01,4.543991E+00
-9.43131169E+01,4.545059E+00
-9.43039616E+01,4.543533E+00
-9.42948064E+01,4.543839E+00
-9.42856511E+01,4.543686E+00
-9.42764958E+01,4.545212E+00
-9.42673405E+01,4.543228E+00
-9.42581852E+01,4.542923E+00
-9.42490300E+01,4.543228E+00
-9.42398747E+01,4.541550E+00
-9.42307194E+01,4.541092E+00
-9.42215641E+01,4.542160E+00
-9.42124088E+01,4.544144E+00
-9.42032536E+01,4.543228E+00
-9.41940983E+01,4.543686E+00
-9.41849430E+01,4.544601E+00
-9.41757877E+01,4.545059E+00
-9.41666324E+01,4.543076E+00
-9.41574772E+01,4.543381E+00
-9.41483219E+01,4.544601E+00
-9.41391666E+01,4.543686E+00
-9.41300113E+01,4.543228E+00
-9.41208560E+01,4.543686E+00
-9.41117008E+01,4.545517E+00
-9.41025455E+01,4.543076E+00
-9.40933902E+01,4.544601E+00
-9.40842349E+01,4.545670E+00
-9.40750796E+01,4.544907E+00
-9.40659244E+01,4.544296E+00
-9.40567691E+01,4.544754E+00
-9.40476138E+01,4.545822E+00
-9.40384585E+01,4.544144E+00
-9.40293032E+01,4.544754E+00
-9.40201480E+01,4.545364E+00
-9.40109927E+01,4.544144E+00
-9.40018374E+01,4.542160E+00
-9.39926821E+01,4.543533E+00
-9.39835268E+01,4.545212E+00
-9.39743716E+01,4.545364E+00
-9.39652163E+01,4.544907E+00
-9.39560610E+01,4.546127E+00
-9.39469057E+01,4.546432E+00
-9.39377504E+01,4.542465E+00
-9.39285952E+01,4.544601E+00
-9.39194399E+01,4.545364E+00
-9.39102846E+01,4.543839E+00
-9.39011293E+01,4.543076E+00
-9.38919740E+01,4.543839E+00
-9.38828188E+01,4.544754E+00
-9.38736635E+01,4.543533E+00
-9.38645082E+01,4.544296E+00
-9.38553529E+01,4.544754E+00
-9.38461976E+01,4.543533E+00
-9.38370424E+01,4.543839E+00
-9.38278871E+01,4.544144E+00
-9.38187318E+01,4.544754E+00
-9.38095765E+01,4.543228E+00
-9.38004212E+01,4.543686E+00
-9.37912660E+01,4.544296E+00
-9.37821107E+01,4.543839E+00
-9.37729554E+01,4.542465E+00
-9.37638001E+01,4.543839E+00
